aceB,asnA,atpD,atpG,b1191,b1583,b1963,cchB,cspA,cspG,dnaG,dnaJ,dnaK,eutG,fixC,flgD,folK,ftsJ,gltA,hupB,ibpB,icdA,lacA,lacY,lacZ,lpdA,mopB,nmpC,nuoM,pspA,pspB,sucA,sucD,tnaA,yaeM,yceP,ycgX,yecO,yedE,yfaD,yfiA,ygbD,ygcE,yhdM,yheI,yjbO
'\'(-1.411047--0.604347]\'','\'(0.831092-1.680443]\'','\'(-1.446672--0.503978]\'','\'(-2.349227--1.706343]\'','\'(1.087528-1.56765]\'','\'(3.299948-4.006859]\'','\'(0.623463-1.606241]\'','\'(0.708893-1.524288]\'','\'(-0.335259-0.542154]\'','\'(1.199167-1.835879]\'','\'(0.197651-1.051029]\'','\'(0.276343-1.181131]\'','\'(0.098638-1.078446]\'','\'(1.225959-1.777101]\'','\'(0.971903-1.780603]\'','\'(-1.962164--1.36518]\'','\'(0.879076-1.656446]\'','\'(0.020548-0.889098]\'','\'(-0.986039--0.411053]\'','\'(-2.846907--1.838229]\'','\'(-0.124042-0.85118]\'','\'(-2.414409--1.610222]\'','\'(-0.719412-0.367859]\'','\'(-2.121166--1.040832]\'','\'(-0.361062-0.795365]\'','\'(-2.759117--2.163649]\'','\'(-0.697776-0.188043]\'','\'(-1.349305--0.724653]\'','\'(-3.12755--2.399557]\'','\'(1.573005-2.193247]\'','\'(2.135191-2.894343]\'','\'(-1.760575--0.986455]\'','\'(-1.423223--0.707564]\'','\'(-2.127586--1.577713]\'','\'(2.577195-3.752508]\'','\'(1.345436-2.0418]\'','\'(0.458292-1.466026]\'','\'(0.817237-1.432578]\'','\'(-1.938145--1.410416]\'','\'(1.557924-2.179244]\'','\'(-2.138521--1.193735]\'','\'(0.821012-1.652197]\'','\'(1.592907-2.688223]\'','\'(0.972425-1.810777]\'','\'(-0.280981-0.602831]\'',1.483667
'\'(-0.604347-0.202352]\'','\'(1.680443-2.529795]\'','\'(-1.446672--0.503978]\'','\'(-2.349227--1.706343]\'','\'(1.087528-1.56765]\'','\'(1.179217-1.886127]\'','\'(-0.359315-0.623463]\'','\'(0.708893-1.524288]\'','\'(1.419568-2.296981]\'','\'(0.562455-1.199167]\'','\'(-0.655727-0.197651]\'','\'(2.085919-2.990707]\'','\'(0.098638-1.078446]\'','\'(0.674818-1.225959]\'','\'(0.163204-0.971903]\'','\'(-0.768196--0.171212]\'','\'(0.879076-1.656446]\'','\'(2.626198-3.494748]\'','\'(-2.136009--1.561024]\'','\'(0.179126-1.187804]\'','\'(0.85118-1.826402]\'','\'(-1.610222--0.806035]\'','\'(0.367859-1.45513]\'','\'(0.039502-1.119835]\'','\'(-0.361062-0.795365]\'','\'(-0.972712--0.377243]\'','\'(1.073863-1.959682]\'','\'(-1.349305--0.724653]\'','\'(-0.943569--0.215575]\'','\'(0.332523-0.952764]\'','\'(0.616887-1.376039]\'','\'(-2.534696--1.760575]\'','\'(-2.138881--1.423223]\'','\'(-2.677459--2.127586]\'','\'(0.22657-1.401883]\'','\'(0.649071-1.345436]\'','\'(-1.557176--0.549442]\'','\'(0.817237-1.432578]\'','\'(-0.882688--0.354959]\'','\'(0.936604-1.557924]\'','\'(-0.248948-0.695839]\'','\'(2.483382-3.314566]\'','\'(0.49759-1.592907]\'','\'(0.972425-1.810777]\'','\'(-0.280981-0.602831]\'',2.415743
'\'(-1.411047--0.604347]\'','\'(3.379146-4.228498]\'','\'(-4.274755--3.332061]\'','\'(-1.706343--1.063459]\'','\'(1.56765-2.047773]\'','\'(1.179217-1.886127]\'','\'(4.554576-5.537354]\'','\'(0.708893-1.524288]\'','\'(0.542154-1.419568]\'','\'(0.562455-1.199167]\'','\'(1.904406-2.757784]\'','\'(1.181131-2.085919]\'','\'(3.038061-4.017868]\'','\'(0.674818-1.225959]\'','\'(1.780603-2.589302]\'','\'(-2.559148--1.962164]\'','\'(3.211187-3.988557]\'','\'(2.626198-3.494748]\'','\'(-2.136009--1.561024]\'','\'(0.179126-1.187804]\'','\'(0.85118-1.826402]\'','\'(-1.610222--0.806035]\'','\'(0.367859-1.45513]\'','\'(-1.040832-0.039502]\'','\'(0.795365-1.951793]\'','\'(-0.972712--0.377243]\'','\'(1.959682-2.845501]\'','\'(-0.100001-0.52465]\'','\'(-0.943569--0.215575]\'','\'(0.332523-0.952764]\'','\'(0.616887-1.376039]\'','\'(-1.760575--0.986455]\'','\'(-2.85454--2.138881]\'','\'(-2.677459--2.127586]\'','\'(1.401883-2.577195]\'','\'(-0.743659--0.047294]\'','\'(2.473761-3.481495]\'','\'(0.817237-1.432578]\'','\'(-0.882688--0.354959]\'','\'(-0.306037-0.315283]\'','\'(-0.248948-0.695839]\'','\'(-0.010172-0.821012]\'','\'(2.688223-3.78354]\'','\'(1.810777-2.64913]\'','\'(3.254266-4.138078]\'',2.867236
'\'(-3.831144--3.024445]\'','\'(4.228498-5.077849]\'','\'(-4.274755--3.332061]\'','\'(-2.349227--1.706343]\'','\'(2.047773-2.527895]\'','\'(1.179217-1.886127]\'','\'(2.58902-3.571798]\'','\'(2.339683-3.155078]\'','\'(0.542154-1.419568]\'','\'(4.382726-inf)\'','\'(0.197651-1.051029]\'','\'(0.276343-1.181131]\'','\'(2.058253-3.038061]\'','\'(0.674818-1.225959]\'','\'(1.780603-2.589302]\'','\'(-2.559148--1.962164]\'','\'(1.656446-2.433817]\'','\'(1.757648-2.626198]\'','\'(-0.986039--0.411053]\'','\'(-0.829552-0.179126]\'','\'(-0.124042-0.85118]\'','\'(-3.218597--2.414409]\'','\'(4.716944-5.804215]\'','\'(3.280503-4.360837]\'','\'(5.421076-6.577504]\'','\'(-inf--3.950054]\'','\'(1.959682-2.845501]\'','\'(-3.22326--2.598608]\'','\'(1.240412-inf)\'','\'(2.813488-3.43373]\'','\'(3.653495-4.412647]\'','\'(-1.760575--0.986455]\'','\'(-2.85454--2.138881]\'','\'(-2.677459--2.127586]\'','\'(7.278445-8.453758]\'','\'(-0.047294-0.649071]\'','\'(1.466026-2.473761]\'','\'(3.893942-4.509283]\'','\'(-3.521331--2.993603]\'','\'(0.315283-0.936604]\'','\'(-0.248948-0.695839]\'','\'(3.314566-4.145751]\'','\'(3.78354-4.878856]\'','\'(1.810777-2.64913]\'','\'(1.486643-2.370454]\'',0.021183
'\'(-0.604347-0.202352]\'','\'(-0.867611--0.018259]\'','\'(-0.503978-0.438716]\'','\'(-2.99211--2.349227]\'','\'(0.127283-0.607406]\'','\'(-0.234604-0.472306]\'','\'(-1.342093--0.359315]\'','\'(0.708893-1.524288]\'','\'(0.542154-1.419568]\'','\'(0.562455-1.199167]\'','\'(-0.655727-0.197651]\'','\'(2.085919-2.990707]\'','\'(-1.860976--0.881169]\'','\'(1.225959-1.777101]\'','\'(0.163204-0.971903]\'','\'(-3.156132--2.559148]\'','\'(-0.675664-0.101706]\'','\'(0.020548-0.889098]\'','\'(-2.710995--2.136009]\'','\'(0.179126-1.187804]\'','\'(0.85118-1.826402]\'','\'(-0.806035--0.001848]\'','\'(0.367859-1.45513]\'','\'(0.039502-1.119835]\'','\'(0.795365-1.951793]\'','\'(-0.972712--0.377243]\'','\'(-0.697776-0.188043]\'','\'(-0.724653--0.100001]\'','\'(-0.943569--0.215575]\'','\'(-0.287719-0.332523]\'','\'(0.616887-1.376039]\'','\'(-3.308816--2.534696]\'','\'(-2.85454--2.138881]\'','\'(-1.577713--1.02784]\'','\'(1.401883-2.577195]\'','\'(1.345436-2.0418]\'','\'(-0.549442-0.458292]\'','\'(1.432578-2.047919]\'','\'(-0.882688--0.354959]\'','\'(1.557924-2.179244]\'','\'(0.695839-1.640625]\'','\'(1.652197-2.483382]\'','\'(-0.597726-0.49759]\'','\'(2.64913-3.487482]\'','\'(-1.164792--0.280981]\'',1.547318
'\'(-0.604347-0.202352]\'','\'(1.680443-2.529795]\'','\'(-2.389366--1.446672]\'','\'(-1.706343--1.063459]\'','\'(1.087528-1.56765]\'','\'(-0.234604-0.472306]\'','\'(1.606241-2.58902]\'','\'(0.708893-1.524288]\'','\'(1.419568-2.296981]\'','\'(1.835879-2.472591]\'','\'(1.051029-1.904406]\'','\'(0.276343-1.181131]\'','\'(0.098638-1.078446]\'','\'(1.225959-1.777101]\'','\'(0.163204-0.971903]\'','\'(-1.962164--1.36518]\'','\'(0.879076-1.656446]\'','\'(1.757648-2.626198]\'','\'(-0.986039--0.411053]\'','\'(0.179126-1.187804]\'','\'(1.826402-2.801625]\'','\'(-0.806035--0.001848]\'','\'(2.542402-3.629673]\'','\'(1.119835-2.200169]\'','\'(1.951793-3.108221]\'','\'(-1.56818--0.972712]\'','\'(1.073863-1.959682]\'','\'(-0.724653--0.100001]\'','\'(-0.943569--0.215575]\'','\'(0.952764-1.573005]\'','\'(0.616887-1.376039]\'','\'(-1.760575--0.986455]\'','\'(-0.707564-0.008095]\'','\'(-1.577713--1.02784]\'','\'(2.577195-3.752508]\'','\'(1.345436-2.0418]\'','\'(1.466026-2.473761]\'','\'(1.432578-2.047919]\'','\'(-1.938145--1.410416]\'','\'(0.315283-0.936604]\'','\'(0.695839-1.640625]\'','\'(1.652197-2.483382]\'','\'(1.592907-2.688223]\'','\'(0.134073-0.972425]\'','\'(0.602831-1.486643]\'',-1.241611
'\'(-3.024445--2.217746]\'','\'(1.680443-2.529795]\'','\'(-2.389366--1.446672]\'','\'(-2.349227--1.706343]\'','\'(0.607406-1.087528]\'','\'(2.593038-3.299948]\'','\'(1.606241-2.58902]\'','\'(2.339683-3.155078]\'','\'(2.296981-3.174394]\'','\'(2.472591-3.109302]\'','\'(1.051029-1.904406]\'','\'(0.276343-1.181131]\'','\'(0.098638-1.078446]\'','\'(0.123676-0.674818]\'','\'(0.971903-1.780603]\'','\'(-1.962164--1.36518]\'','\'(0.879076-1.656446]\'','\'(0.889098-1.757648]\'','\'(-0.986039--0.411053]\'','\'(0.179126-1.187804]\'','\'(-0.124042-0.85118]\'','\'(-3.218597--2.414409]\'','\'(-0.719412-0.367859]\'','\'(-2.121166--1.040832]\'','\'(-0.361062-0.795365]\'','\'(-2.759117--2.163649]\'','\'(1.073863-1.959682]\'','\'(-1.973956--1.349305]\'','\'(-4.583538--3.855544]\'','\'(2.193247-2.813488]\'','\'(2.894343-3.653495]\'','\'(-0.212334-0.561787]\'','\'(0.008095-0.723754]\'','\'(-1.577713--1.02784]\'','\'(3.752508-4.92782]\'','\'(-0.047294-0.649071]\'','\'(1.466026-2.473761]\'','\'(2.66326-3.278601]\'','\'(-2.993603--2.465874]\'','\'(0.315283-0.936604]\'','\'(0.695839-1.640625]\'','\'(1.652197-2.483382]\'','\'(1.592907-2.688223]\'','\'(0.972425-1.810777]\'','\'(0.602831-1.486643]\'',-0.175726
'\'(0.202352-1.009051]\'','\'(-0.867611--0.018259]\'','\'(-0.503978-0.438716]\'','\'(-2.349227--1.706343]\'','\'(0.127283-0.607406]\'','\'(2.593038-3.299948]\'','\'(1.606241-2.58902]\'','\'(0.708893-1.524288]\'','\'(-0.335259-0.542154]\'','\'(1.835879-2.472591]\'','\'(-0.655727-0.197651]\'','\'(2.085919-2.990707]\'','\'(-1.860976--0.881169]\'','\'(1.225959-1.777101]\'','\'(0.971903-1.780603]\'','\'(-1.962164--1.36518]\'','\'(0.101706-0.879076]\'','\'(0.889098-1.757648]\'','\'(-2.710995--2.136009]\'','\'(-3.855584--2.846907]\'','\'(1.826402-2.801625]\'','\'(-0.001848-0.80234]\'','\'(0.367859-1.45513]\'','\'(1.119835-2.200169]\'','\'(0.795365-1.951793]\'','\'(-2.163649--1.56818]\'','\'(-0.697776-0.188043]\'','\'(-0.724653--0.100001]\'','\'(-2.399557--1.671563]\'','\'(0.952764-1.573005]\'','\'(1.376039-2.135191]\'','\'(-3.308816--2.534696]\'','\'(-2.85454--2.138881]\'','\'(-1.577713--1.02784]\'','\'(2.577195-3.752508]\'','\'(0.649071-1.345436]\'','\'(-0.549442-0.458292]\'','\'(1.432578-2.047919]\'','\'(-1.410416--0.882688]\'','\'(0.936604-1.557924]\'','\'(-2.138521--1.193735]\'','\'(2.483382-3.314566]\'','\'(-0.597726-0.49759]\'','\'(0.972425-1.810777]\'','\'(-1.164792--0.280981]\'',0.609599
'\'(-2.217746--1.411047]\'','\'(1.680443-2.529795]\'','\'(-1.446672--0.503978]\'','\'(-2.349227--1.706343]\'','\'(0.127283-0.607406]\'','\'(1.179217-1.886127]\'','\'(1.606241-2.58902]\'','\'(1.524288-2.339683]\'','\'(1.419568-2.296981]\'','\'(1.835879-2.472591]\'','\'(-0.655727-0.197651]\'','\'(1.181131-2.085919]\'','\'(-0.881169-0.098638]\'','\'(0.123676-0.674818]\'','\'(0.971903-1.780603]\'','\'(-1.36518--0.768196]\'','\'(0.879076-1.656446]\'','\'(0.020548-0.889098]\'','\'(-1.561024--0.986039]\'','\'(-0.829552-0.179126]\'','\'(-1.099265--0.124042]\'','\'(-1.610222--0.806035]\'','\'(1.45513-2.542402]\'','\'(1.119835-2.200169]\'','\'(1.951793-3.108221]\'','\'(-2.759117--2.163649]\'','\'(-1.583595--0.697776]\'','\'(-0.100001-0.52465]\'','\'(-0.215575-0.512419]\'','\'(0.952764-1.573005]\'','\'(2.894343-3.653495]\'','\'(-1.760575--0.986455]\'','\'(-1.423223--0.707564]\'','\'(-1.02784--0.477967]\'','\'(3.752508-4.92782]\'','\'(-0.743659--0.047294]\'','\'(-0.549442-0.458292]\'','\'(2.047919-2.66326]\'','\'(-2.465874--1.938145]\'','\'(0.315283-0.936604]\'','\'(-0.248948-0.695839]\'','\'(1.652197-2.483382]\'','\'(0.49759-1.592907]\'','\'(0.134073-0.972425]\'','\'(0.602831-1.486643]\'',1.594767
'\'(-1.411047--0.604347]\'','\'(0.831092-1.680443]\'','\'(-2.389366--1.446672]\'','\'(-3.634994--2.99211]\'','\'(1.087528-1.56765]\'','\'(1.886127-2.593038]\'','\'(0.623463-1.606241]\'','\'(3.155078-3.970473]\'','\'(-0.335259-0.542154]\'','\'(3.109302-3.746014]\'','\'(-0.655727-0.197651]\'','\'(2.085919-2.990707]\'','\'(0.098638-1.078446]\'','\'(2.328243-2.879384]\'','\'(1.780603-2.589302]\'','\'(-3.156132--2.559148]\'','\'(0.879076-1.656446]\'','\'(0.889098-1.757648]\'','\'(-3.28598--2.710995]\'','\'(-1.838229--0.829552]\'','\'(2.801625-3.776847]\'','\'(-1.610222--0.806035]\'','\'(2.542402-3.629673]\'','\'(2.200169-3.280503]\'','\'(1.951793-3.108221]\'','\'(-2.759117--2.163649]\'','\'(-0.697776-0.188043]\'','\'(-1.973956--1.349305]\'','\'(-0.943569--0.215575]\'','\'(2.813488-3.43373]\'','\'(4.412647-inf)\'','\'(-4.082937--3.308816]\'','\'(-3.570199--2.85454]\'','\'(-2.127586--1.577713]\'','\'(4.92782-6.103133]\'','\'(2.0418-2.738165]\'','\'(-0.549442-0.458292]\'','\'(2.66326-3.278601]\'','\'(-2.993603--2.465874]\'','\'(2.179244-2.800565]\'','\'(-1.193735--0.248948]\'','\'(1.652197-2.483382]\'','\'(0.49759-1.592907]\'','\'(2.64913-3.487482]\'','\'(-0.280981-0.602831]\'',1.5678
