N0_7muVerMo,SubjVertMo,QGVertMotion,CombVerMo,AreaMeso_ALS,SatContMoist,RaoContMoist,CombMoisture,AreaMoDryAir,VISCloudCov,IRCloudCover,CombClouds,CldShadeOth,AMInstabMt,InsInMt,WndHodograph,OutflowFrMt,MorningBound,Boundaries,CldShadeConv,CompPlFcst,CapChange,LoLevMoistAd,InsChange,MountainFcst,Date,Scenario,ScenRelAMCIN,MorningCIN,AMCINInScen,CapInScen,ScenRelAMIns,LIfr12ZDENSd,AMDewptCalPl,AMInsWliScen,InsSclInScen,ScenRel3_4,LatestCIN,LLIW,CurPropConv,ScnRelPlFcst,PlainsFcst,N34StarFcst,R5Fcst,Dewpoints,LowLLapse,MeanRH,MidLLapse,MvmtFeatures,RHRatio,SfcWndShfDis,SynForcng,TempDis,WindAloft,WindFieldMt,WindFieldPln
WeakUp,Down,Down,Down,Down,Dry,Wet,Wet,VeryWet,Clear,Cloudy,PC,PC,None,None,StrongWest,None,Weak,None,None,IncCapDecIns,Increasing,Neutral,LittleChange,XNIL,Jul2_Jul15,J,CThruK,PartInhibit,Average,MoreThanAve,CDEJ,N1GtLIGt_4,Stability,MoreUnstable,MoreUnstable,GJ,None,Strong,Moderate,J,SIG,SIG,SIG,LowMtsHighPl,ModerateOrLe,Average,ModerateOrLe,OtherRapid,DryMMoistL,DryLine,LittleChange,Moving,LV,LVorOther,LV
Down,Neutral,Down,Down,Down,Dry,VeryWet,Wet,VeryWet,Clear,PC,Clear,Clear,None,Weak,DCVZFavor,None,None,Weak,None,LittleChange,LittleChange,Neutral,LittleChange,XNIL,May15_Jun14,H,CThruK,PartInhibit,LessThanAve,LessThanAve,H,N5GtLIGt_8,Neutral,MoreUnstable,MoreUnstable,HI,PartInhibit,Weak,None,H,XNIL,XNIL,XNIL,Other,Stable,VeryMoist,CloseToDryAd,OtherRapid,Other,E_W_N,SigNegative,Other,LV,Westerly,E_NE
Down,Neutral,Down,Neutral,Neutral,Dry,VeryWet,Neutral,Neutral,Clear,Clear,Clear,Clear,Weak,Strong,DCVZFavor,Strong,None,Weak,Some,DecCapIncIns,Decreasing,StrongPos,Increasing,SIG,Jul2_Jul15,D,CThruK,PartInhibit,MoreThanAve,Average,CDEJ,LIGt0,Stability,Average,Average,D,Stifling,Moderate,Slight,D,XNIL,XNIL,SIG,LowSHighN,Steep,Average,Steep,StrongFront,Other,None,SigNegative,QStationary,NWQuad,Westerly,SEQuad
Down,Neutral,WeakUp,Down,Down,VeryWet,Neutral,VeryWet,Wet,PC,Cloudy,Cloudy,Cloudy,None,None,Westerly,None,Weak,None,None,DecCapIncIns,Decreasing,Neutral,Decreasing,XNIL,Aug11_Aug20,G,CThruK,PartInhibit,LessThanAve,LessThanAve,G,N1GtLIGt_4,Stability,Average,LessUnstable,GJ,None,Moderate,Slight,G,XNIL,XNIL,XNIL,LowSHighN,CloseToDryAd,Average,CloseToDryAd,NoMajor,Other,None,PosToNeg,None,LV,Westerly,WidespdDnsl
Down,Neutral,Neutral,Down,Down,Neutral,Neutral,Neutral,Neutral,PC,Cloudy,Clear,Clear,Weak,Weak,Other,None,Strong,Weak,None,LittleChange,LittleChange,Neutral,LittleChange,SIG,May15_Jun14,K,CThruK,PartInhibit,Average,Average,K,N1GtLIGt_4,Stability,Average,Average,ACEFK,PartInhibit,Weak,Slight,K,XNIL,XNIL,SIG,LowMtsHighPl,Steep,VeryMoist,Steep,MarkedUpper,Other,None,SigNegative,None,LV,LVorOther,E_NE
WeakUp,Neutral,Neutral,Neutral,Neutral,Dry,VeryWet,Dry,Dry,PC,PC,PC,PC,None,Weak,Westerly,None,Weak,Weak,None,LittleChange,LittleChange,StrongPos,Increasing,SIG,Aug20_Sep15,A,AB,Stifling,LessThanAve,LessThanAve,ABI,N1GtLIGt_4,Neutral,LessUnstable,Average,ACEFK,PartInhibit,Weak,Slight,A,XNIL,XNIL,SIG,LowMtsHighPl,Steep,Dry,Steep,OtherRapid,DryMMoistL,Other,NegToPos,None,SWQuad,LVorOther,SEQuad
WeakUp,Neutral,Down,Neutral,Neutral,Neutral,Dry,Dry,Neutral,PC,PC,PC,PC,Strong,Strong,Westerly,Weak,None,Weak,Some,IncCapDecIns,Increasing,WeakPos,Increasing,SIG,May15_Jun14,E,CThruK,Stifling,Average,MoreThanAve,CDEJ,N5GtLIGt_8,Instability,Average,Average,ACEFK,PartInhibit,Unfavorable,None,E,XNIL,XNIL,SIG,Other,CloseToDryAd,Average,Steep,NoMajor,MoistMDryL,None,LittleChange,None,SWQuad,LVorOther,LongAnticyc
WeakUp,Neutral,Down,Down,Down,Neutral,Dry,Wet,Wet,Clear,PC,PC,PC,Weak,Weak,Other,None,None,None,None,IncCapDecIns,Increasing,Negative,Decreasing,SIG,Jul2_Jul15,I,CThruK,TotalInhibit,MoreThanAve,MoreThanAve,ABI,N1GtLIGt_4,Instability,MoreUnstable,Average,HI,Stifling,Moderate,None,I,SVR,SVR,SVR,LowMtsHighPl,ModerateOrLe,Average,Steep,NoMajor,DryMMoistL,MovingFtorOt,SigNegative,Moving,SWQuad,LVorOther,DenvCyclone
Down,Neutral,StrongUp,Neutral,Neutral,Dry,Neutral,Dry,Dry,Clear,Clear,Clear,Clear,None,None,StrongWest,None,Weak,Weak,None,DecCapIncIns,Decreasing,WeakPos,LittleChange,XNIL,Aug20_Sep15,G,CThruK,Stifling,MoreThanAve,LessThanAve,G,N5GtLIGt_8,Instability,LessUnstable,LessUnstable,GJ,PartInhibit,Strong,Moderate,G,XNIL,SIG,SIG,LowEvrywhere,Steep,Dry,CloseToDryAd,NoMajor,Other,None,LittleChange,None,NWQuad,Westerly,WidespdDnsl
Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Dry,Neutral,Neutral,Clear,PC,Cloudy,PC,Strong,Strong,DCVZFavor,Strong,Weak,Weak,Marked,LittleChange,LittleChange,Neutral,Decreasing,XNIL,May15_Jun14,E,CThruK,None,LessThanAve,LessThanAve,CDEJ,N1GtLIGt_4,Neutral,Average,LessUnstable,ACEFK,Stifling,Moderate,Moderate,E,SVR,SVR,SVR,HighEvrywher,CloseToDryAd,Average,ModerateOrLe,NoMajor,Other,DryLine,SigNegative,None,AllElse,Westerly,WidespdDnsl
Down,WeakUp,Neutral,Down,Down,VeryWet,Wet,VeryWet,Wet,PC,Clear,PC,PC,None,Weak,Other,None,Strong,Strong,None,LittleChange,LittleChange,WeakPos,Increasing,XNIL,Jul16_Aug10,B,AB,TotalInhibit,MoreThanAve,Average,ABI,LIGt0,Stability,LessUnstable,LessUnstable,B,None,Weak,Moderate,B,SIG,SIG,SIG,LowSHighN,Steep,VeryMoist,Steep,NoMajor,DryMMoistL,E_W_N,NegToPos,Moving,AllElse,LVorOther,SEQuad
Down,WeakUp,Neutral,Neutral,Neutral,VeryWet,Dry,Wet,Wet,PC,Clear,Clear,Clear,None,None,StrongWest,None,Strong,Weak,None,LittleChange,LittleChange,Neutral,LittleChange,XNIL,Jun15_Jul1,D,CThruK,PartInhibit,Average,Average,CDEJ,N1GtLIGt_4,Stability,LessUnstable,LessUnstable,D,None,Moderate,Strong,D,SVR,SVR,SVR,LowMtsHighPl,Steep,Average,ModerateOrLe,NoMajor,MoistMDryL,None,PosToNeg,None,NWQuad,Westerly,WidespdDnsl
StrongUp,Neutral,Neutral,WeakUp,WeakUp,Wet,Neutral,Neutral,Neutral,PC,PC,PC,PC,Weak,Weak,Other,Weak,Strong,Weak,Some,DecCapIncIns,Decreasing,Neutral,Decreasing,XNIL,Aug11_Aug20,G,CThruK,PartInhibit,Average,LessThanAve,G,N5GtLIGt_8,Stability,Average,LessUnstable,GJ,None,Weak,Slight,G,XNIL,XNIL,XNIL,LowEvrywhere,CloseToDryAd,Dry,CloseToDryAd,NoMajor,MoistMDryL,DryLine,LittleChange,None,SWQuad,LVorOther,LV
Down,WeakUp,Neutral,Neutral,Neutral,Dry,Dry,Neutral,Dry,PC,Clear,PC,PC,Weak,Weak,StrongWest,Strong,Weak,Weak,Some,IncCapDecIns,Increasing,Neutral,LittleChange,XNIL,Aug20_Sep15,G,CThruK,Stifling,MoreThanAve,MoreThanAve,G,N1GtLIGt_4,Stability,MoreUnstable,MoreUnstable,GJ,None,Unfavorable,None,G,XNIL,XNIL,XNIL,LowAtStation,CloseToDryAd,Dry,CloseToDryAd,MarkedUpper,MoistMDryL,DryLine,LittleChange,None,SWQuad,Westerly,LongAnticyc
Neutral,Neutral,StrongUp,WeakUp,WeakUp,VeryWet,Neutral,VeryWet,VeryWet,PC,Clear,PC,Clear,Strong,Strong,Other,None,Strong,Strong,Some,LittleChange,LittleChange,Negative,Decreasing,SIG,Jul2_Jul15,C,CThruK,PartInhibit,LessThanAve,LessThanAve,CDEJ,N1GtLIGt_4,Stability,LessUnstable,LessUnstable,ACEFK,PartInhibit,Strong,Strong,C,SIG,SIG,SIG,LowEvrywhere,CloseToDryAd,Average,CloseToDryAd,OtherRapid,DryMMoistL,E_W_N,SigNegative,None,AllElse,Westerly,WidespdDnsl
Neutral,StronUp,Down,WeakUp,WeakUp,Wet,Neutral,Neutral,Wet,PC,PC,Clear,Clear,Strong,Strong,DCVZFavor,Weak,None,None,Marked,LittleChange,LittleChange,WeakPos,LittleChange,SVR,Aug20_Sep15,F,CThruK,None,LessThanAve,LessThanAve,F,N1GtLIGt_4,Stability,LessUnstable,LessUnstable,ACEFK,PartInhibit,Strong,Strong,F,XNIL,XNIL,SVR,HighEvrywher,ModerateOrLe,VeryMoist,ModerateOrLe,NoMajor,Other,None,SigNegative,None,LV,LVorOther,SEQuad
StrongUp,WeakUp,WeakUp,StrongUp,StrongUp,VeryWet,VeryWet,VeryWet,VeryWet,PC,Clear,PC,Cloudy,Strong,Strong,Other,None,Weak,None,Some,DecCapIncIns,Decreasing,Negative,Decreasing,SIG,Jul16_Aug10,E,CThruK,PartInhibit,Average,LessThanAve,CDEJ,N1GtLIGt_4,Instability,Average,LessUnstable,ACEFK,PartInhibit,Moderate,Moderate,E,XNIL,XNIL,SIG,LowNHighS,CloseToDryAd,Average,Steep,NoMajor,MoistMDryL,None,PosToNeg,None,LV,Westerly,LV
Down,Down,Neutral,Down,Down,Neutral,Neutral,Neutral,Neutral,PC,PC,PC,PC,None,None,Westerly,None,None,None,None,LittleChange,LittleChange,Neutral,Decreasing,XNIL,Jun15_Jul1,K,CThruK,TotalInhibit,MoreThanAve,MoreThanAve,K,LIGt0,Neutral,LessUnstable,LessUnstable,ACEFK,Stifling,Strong,Strong,K,XNIL,XNIL,XNIL,LowEvrywhere,ModerateOrLe,VeryMoist,Steep,StrongFront,Other,MovingFtorOt,SigPositive,None,AllElse,Westerly,SEQuad
WeakUp,Neutral,Down,Down,Down,Dry,Dry,Wet,Wet,Clear,Clear,Clear,Clear,Strong,Strong,Westerly,Weak,None,Strong,Marked,DecCapIncIns,Decreasing,Neutral,LittleChange,SIG,Jul16_Aug10,D,CThruK,PartInhibit,Average,LessThanAve,CDEJ,LIGt0,Stability,LessUnstable,LessUnstable,D,None,Moderate,Strong,D,XNIL,XNIL,SIG,LowAtStation,ModerateOrLe,Average,CloseToDryAd,MarkedUpper,DryMMoistL,DryLine,LittleChange,Other,NWQuad,Westerly,WidespdDnsl
WeakUp,StronUp,Neutral,WeakUp,WeakUp,Dry,Dry,VeryWet,VeryWet,PC,Clear,PC,Cloudy,Strong,Strong,DCVZFavor,Weak,Strong,Strong,Marked,IncCapDecIns,Increasing,StrongPos,Increasing,XNIL,Jun15_Jul1,E,CThruK,PartInhibit,LessThanAve,Average,CDEJ,N1GtLIGt_4,Neutral,Average,MoreUnstable,ACEFK,None,Weak,Moderate,E,XNIL,XNIL,XNIL,LowAtStation,CloseToDryAd,VeryMoist,ModerateOrLe,OtherRapid,MoistMDryL,None,LittleChange,None,SWQuad,LVorOther,LV
Neutral,Neutral,Neutral,Neutral,Neutral,Wet,VeryWet,Wet,VeryWet,Clear,Clear,Clear,Clear,Strong,Strong,DCVZFavor,Weak,Strong,Strong,Marked,DecCapIncIns,Decreasing,Negative,Decreasing,SVR,Jun15_Jul1,E,CThruK,PartInhibit,Average,LessThanAve,CDEJ,N5GtLIGt_8,Instability,MoreUnstable,MoreUnstable,ACEFK,PartInhibit,Moderate,None,E,XNIL,XNIL,SVR,LowNHighS,CloseToDryAd,Dry,Steep,NoMajor,MoistMDryL,None,SigNegative,None,SWQuad,Westerly,WidespdDnsl
StrongUp,WeakUp,Neutral,WeakUp,WeakUp,Neutral,Dry,Dry,Neutral,PC,Clear,Clear,Clear,None,None,StrongWest,None,None,None,None,DecCapIncIns,Decreasing,Negative,Decreasing,XNIL,Jul16_Aug10,C,CThruK,None,LessThanAve,LessThanAve,CDEJ,N1GtLIGt_4,Stability,LessUnstable,LessUnstable,ACEFK,Stifling,Moderate,None,C,XNIL,XNIL,XNIL,Other,ModerateOrLe,Average,CloseToDryAd,NoMajor,Other,E_W_S,PosToNeg,Other,NWQuad,Westerly,LV
Neutral,WeakUp,Neutral,Neutral,Neutral,Dry,Neutral,Neutral,Neutral,PC,Cloudy,PC,PC,Strong,Strong,StrongWest,Strong,None,Weak,Marked,IncCapDecIns,Increasing,Negative,Decreasing,SIG,Jul16_Aug10,H,CThruK,PartInhibit,LessThanAve,Average,H,LILt_8,Stability,MoreUnstable,MoreUnstable,HI,PartInhibit,Weak,Slight,H,XNIL,XNIL,SIG,LowMtsHighPl,Stable,Average,CloseToDryAd,NoMajor,Other,MovingFtorOt,PosToNeg,Moving,AllElse,LVorOther,E_NE
