GoodStudent,Age,SocioEcon,RiskAversion,VehicleYear,ThisCarDam,RuggedAuto,Accident,MakeModel,DrivQuality,Mileage,Antilock,DrivingSkill,SeniorTrain,ThisCarCost,Theft,CarValue,HomeBase,AntiTheft,PropCost,OtherCarCost,OtherCar,MedCost,Cushioning,Airbag,ILiCost,DrivHist
False,Adult,Prole,Cautious,Older,None,Football,None,FamilySedan,Normal,TwentyThou,False,Normal,False,Thousand,False,TenThou,City,True,Thousand,Thousand,True,Thousand,Fair,False,Thousand,Zero
False,Adult,Middle,Adventurous,Older,None,EggShell,None,Economy,Normal,TwentyThou,False,Normal,False,Thousand,False,FiveThou,Suburb,False,TenThou,Thousand,False,Thousand,Fair,False,Thousand,Zero
False,Adult,Prole,Normal,Current,None,Football,None,FamilySedan,Excellent,TwentyThou,True,Expert,False,Thousand,False,TwentyThou,Rural,True,Thousand,Thousand,True,Thousand,Fair,True,Thousand,Zero
False,Adult,Prole,Cautious,Older,None,EggShell,None,Economy,Excellent,TwentyThou,False,Expert,False,Thousand,False,FiveThou,City,True,Thousand,Thousand,False,Thousand,Poor,False,Thousand,Zero
False,Adult,UpperMiddle,Normal,Current,None,Football,None,Luxury,Normal,FiftyThou,True,Normal,False,Thousand,False,FiftyThou,Suburb,True,Thousand,Thousand,True,Thousand,Good,True,Thousand,Zero
False,Adult,Middle,Cautious,Current,None,Football,None,Economy,Excellent,FiftyThou,False,Expert,False,Thousand,False,FiveThou,Secure,True,Thousand,Thousand,True,Thousand,Fair,True,Thousand,Zero
False,Adult,Middle,Cautious,Older,None,Tank,None,FamilySedan,Normal,FiftyThou,False,Normal,False,Thousand,False,FiveThou,Secure,True,Thousand,Thousand,True,Thousand,Good,False,Thousand,Zero
False,Adult,Prole,Normal,Older,None,EggShell,None,Economy,Excellent,TwentyThou,False,Expert,False,Thousand,False,TenThou,City,False,Thousand,Thousand,True,Thousand,Fair,False,Thousand,Zero
False,Adolescent,Prole,Adventurous,Older,None,EggShell,None,Economy,Poor,TwentyThou,False,SubStandard,False,Thousand,False,FiveThou,City,False,Thousand,Thousand,True,Thousand,Fair,False,Thousand,Many
False,Adolescent,Prole,Adventurous,Older,Severe,Football,Severe,Economy,Poor,TwentyThou,False,Normal,False,TenThou,False,FiveThou,Rural,False,HundredThou,HundredThou,True,HundredThou,Good,False,TenThou,Zero
False,Adolescent,Middle,Normal,Older,None,Tank,None,FamilySedan,Normal,FiftyThou,False,Normal,False,Thousand,False,FiveThou,Secure,False,Thousand,Thousand,True,Thousand,Good,False,Thousand,Zero
False,Adult,Wealthy,Cautious,Current,None,EggShell,None,SportsCar,Poor,FiftyThou,True,SubStandard,False,Thousand,False,TenThou,Secure,True,Thousand,Thousand,True,Thousand,Poor,True,Thousand,One
False,Adult,Prole,Normal,Older,None,EggShell,None,Economy,Normal,TwentyThou,False,Normal,False,Thousand,False,TenThou,City,False,Thousand,Thousand,False,Thousand,Poor,False,Thousand,Zero
False,Adult,Middle,Normal,Older,None,EggShell,None,Economy,Normal,FiftyThou,False,Normal,False,Thousand,False,FiveThou,Secure,False,Thousand,Thousand,True,Thousand,Poor,True,Thousand,Zero
False,Adult,Middle,Adventurous,Older,None,Football,None,FamilySedan,Excellent,FiftyThou,False,Normal,False,Thousand,False,TwentyThou,Suburb,False,TenThou,Thousand,True,Thousand,Fair,False,Thousand,One
False,Adult,Prole,Cautious,Older,None,EggShell,None,SportsCar,Normal,TwentyThou,False,Normal,False,Thousand,False,TenThou,City,True,Thousand,Thousand,False,Thousand,Poor,False,Thousand,Zero
False,Adult,Prole,Normal,Older,None,Tank,Mild,FamilySedan,Poor,TwentyThou,False,SubStandard,False,Thousand,False,FiveThou,Rural,False,Thousand,Thousand,True,Thousand,Excellent,True,Thousand,Many
