v0 v1 v2 v3 v4 v5 v6 v7 v8 v9 v10 v11 v12 v13 v14 v15 v16 v17 v18 v19 v20 v21 v22 v23 v24 v25 v26 v27 v28 v29 v30 v31 v32 v33 v34 v35 v36 v37 v38 v39 v40 v41 v42 v43 v44 v45 v46 v47 v48 v49 v50 v51 v52 v53 v54 v55 v56 v57 v58 v59 v60 v61 v62 v63 v64 v65 v66 v67 v68 v69 v70 v71 v72 v73 v74 v75 v76 v77 v78 v79 v80 v81 v82 v83 v84 v85 v86 v87 v88 v89 v90 v91 v92 v93 v94 v95 v96 v97 v98 v99 v100 v101 v102 v103 v104 v105 v106 v107 v108
63 2 2 3 3 3 3 4 4 4 5 4 3 5 2 4 4 5 2 3 2 2 3 3 4 3 2 2 4 4 3 3 2 2 3 2 2 2 2 2 5 6 2 3 5 2 6 3 2 4 4 5 4 8 9 3 2 4 5 4 4 7 6 4 5 4 2 3 2 3 6 6 5 2 2 2 2 2 2 2 4 4 8 5 4 2 5 2 3 2 5 5 2 2 2 2 2 6 5 5 5 3 8 3 4 4 4 3 2
13 0 1 2 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 1 0 0 0 6 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 1 0 0 0 3 0 0 0 0 0 0 0 1 2 1 2 4 1 1 3 3 0 0
27 0 0 0 0 0 0 0 0 0 0 2 0 1 0 1 2 2 0 0 0 0 1 0 0 0 0 1 0 3 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 2 0 1 1 5 0 0 0 0 1 0 2 2 1 0 0 0 0 0 0 0 1 0 2 2 1 3 0 0 0 0 0 3 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0
19 0 1 1 1 1 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 1 0 0 0 3 0 0 0 0 0 0 0 1 4 1 2 5 1 1 2 3 0 0
43 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 1 1 0 0 0 3 2 0 1 1 5 0 3 0 0 0 0 1 1 1 0 0 0 0 0 0 0 1 0 1 1 0 1 0 1 0 0 0 2 1 0 0 0 1 1 2 1 0 0 0 0 0 0 0 0 1 0
62 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2 1 0 0 0 3 0 0 0 4 0 0 4 0 0 0 0 1 1 1 0 0 0 0 0 0 0 1 0 1 1 0 0 0 1 0 1 0 1 0 0 0 0 0 1 4 1 0 0 0 0 0 0 0 0 1 0
61 0 1 2 1 1 1 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 1 1 4 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 2 0 2 0 0 0 1 0 0 2 1 0 0 0 0 0 0 0 1 0 1 2 0 2 0 2 0 0 0 3 0 0 0 0 0 0 0 1 4 1 1 0 0 1 1 2 0 1
56 0 1 1 1 1 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 1 3 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 2 0 1 1 5 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 1 1 0 3 0 1 0 0 0 3 1 0 0 0 0 0 0 1 4 1 2 5 1 1 3 3 1 0
60 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 1 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 5 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 2 0 2 0 0 0 3 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1
34 0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 4 1 0 0 0 0 0 0 0 0 2 2 1 2 2 0 0 0 2 0 1 1 5 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 4 0 2 0 1 0 0 0 4 2 0 0 0 1 0 1 1 2 1 1 0 0 3 1 1 1 0
